productID	producttitle	name	mainphoto	targeturl	displaydiscountind	discountprct	ratingstar1	ratingstar2	ratingstar3	ratingstar4	ratingstar5	category-id	category	sequenceno	collection	sales	availability	noofreviews	SKUcomboName	skua1	skua2	skua3	skua4	skua5	skua6	skua7	skua8	skua9	skua10	skua11	skua12	SKUnameA1	SKUnameA2	SKUnameA3	SKUnameA4	SKUnameA5	SKUnameA6	SKUnameA7	SKUnameA8	SKUnameA9	SKUnameA10	SKUnameA11	SKUnameA12	skupricea1	skupricea2	skupricea3	skupricea4	skupricea5	skupricea6	skupricea7	skupricea8	skupricea9	skupricea10	skupricea11	skupricea12	skucurrentpricea1	skucurrentpricea2	skucurrentpricea3	skucurrentpricea4	skucurrentpricea5	skucurrentpricea6	skucurrentpricea7	skucurrentpricea8	skucurrentpricea9	skucurrentpricea10	skucurrentpricea11	skucurrentpricea12	displayoriginalpricea1	displayoriginalpricea2	displayoriginalpricea3	displayoriginalpricea4	displayoriginalpricea5	displayoriginalpricea6	displayoriginalpricea7	displayoriginalpricea8	displayoriginalpricea9	displayoriginalpricea10	displayoriginalpricea11	displayoriginalpricea12	
493784260	Grenade Shaped Ceramic Mug	grenade shaped ceramic mug	grenade-shaped-ceramic-mug.jpg	grenade-shaped-ceramic-mug		-0.3%	star-filled	star-filled	star-filled	star-filled	star-half	22532	Dinnerware	1	best selling drinkware cool for dad for him featured	636	In Stock	3		MCV573-Blk												Black												299.00												298.00												original-price												
672642791	Nose Pencil Sharpener	nose pencil sharpener	nose-pencil-sharpener.jpg	nose-pencil-sharpener		-23.3%	star-filled	star-filled	star-filled	star-filled	star-half	22766	Office	2	best selling funny featured	81	In Stock	39		NPS588-BRN												Brown												90.00												69.00												original-price												
680822784	Toilet Bowl Mug	toilet bowl mug	toilet-bowl-mug.jpg	toilet-bowl-mug	d-none	0.0%	star-filled	star-filled	star-filled	star-filled	star-half	22532	Dinnerware	3	best selling drinkware funny featured	268	In Stock	15	Design	TBM063-WHT	TBM063-WwP											Without poop	with poop											375.00	399.00											375.00	398.00											d-none	original-price											
602102703	Iron Man Mug	iron man mug	ironman-mug.jpg	ironman-mug		-3.7%	star-filled	star-filled	star-filled	star-filled	star-half	22532	Dinnerware	4	best selling drinkware featured	242	In Stock	39		IMM675-RY												Red-Yellow												269.00												259.00												original-price												
673654159	Turtle Mouse	turtle mouse	turtle-mouse.jpg	turtle-mouse		-0.4%	star-filled	star-filled	star-filled	star-filled	star-half	13855	Computer and Mobile Accessories	5	best selling featured	88	In Stock	42	Color	TMS374	TMS375	TMS376										Green	Pink	Red										230.00	230.00	230.00										229.00	229.00	229.00										original-price	original-price	original-price										
1919515084	Wonder Woman Shield Mug	wonder woman shield mug	wonder-woman-shield-mug.jpg	wonder-woman-shield-mug	d-none	0.0%	star-filled	star-filled	star-filled	star-filled	star-half	22532	Dinnerware	6	best selling drinkware	57	In Stock	46		WMS281-RED																								299.00												299.00												d-none												
508432435	Cycling Balls Tail Light Bike Night Lamp	cycling balls tail light bike night lamp	cycling-balls-tail-light.jpg	cycling-balls-tail-light	d-none	0.0%	star-filled	star-filled	star-filled	star-filled	star-half	10158	Automobile	7	featured funny bicycle accessories	0	In Stock	49		CYB387-MLT												Multicolor												218.00												218.00												d-none												
673756834	Boyfriend Pillow	boyfriend pillow	boyfriend-pillow.jpg	boyfriend-pillow	d-none	0.0%	star-filled	star-filled	star-filled	star-filled	star-half	22452	Bedroom	8	unique gift idea funny featured	3	In Stock	24		MAP289-BLU												Blue												740.00												740.00												d-none												
1057906897	Skull Mask	skull mask	skull-mask.jpg	skull-mask	d-none	0.0%	star-filled	star-filled	star-filled	star-filled	star-half	7283	Fashion	9	featured funny cool look weird	20	In Stock	3		SKLMS323-BLK												One size												110.00												110.00												d-none												
472928188	USB Spaceman Astronaut LED Lamp	usb spaceman astronaut led lamp	astronaut-led-lamp.jpg	astronaut-led-lamp	d-none	0.0%	star-filled	star-filled	star-filled	star-filled	star-half	24941	Computer and Mobile Accessories	10	featured cute	13	In Stock	37		ASTRLHT786												White												180.00												180.00												d-none												
510006221	Super Mario 3D Ref Magnet	super mario 3d ref magnet	super-mario-3d-ref-magnet.jpg	super-mario-3d-ref-magnet	d-none	0.0%	star-filled	star-filled	star-filled	star-filled	star-half	24830	Home	11	featured cute	10	In Stock	2	Design	MBC123-BRBL	MBC123-BULL	MBC123-BUZB	MBC123-GOOM	MBC123-GRMA	MBC123-GRMU	MBC123-PIPE	MBC123-QMBL	MBC123-RDMA	MBC123-RDMU	MBC123-Set10	MBC123-Setof10pcs	Brick Block	Bullet Bill	Buzzy Beetle	Goomba	Green Mario	Green Mushroom	Pipe	Question Mark Block	Red Mario	Red Mushroom	Set of 10	Set of 10 pcs.	70.00	70.00	70.00	70.00	70.00	70.00	70.00	70.00	70.00	70.00	499.00	499.00	70.00	70.00	70.00	70.00	70.00	70.00	70.00	70.00	70.00	70.00	499.00	499.00	d-none	d-none	d-none	d-none	d-none	d-none	d-none	d-none	d-none	d-none	d-none	d-none	
493860980	Monsiter Tortoise Ash Tray	monsiter tortoise ash tray	monsiter-tortoise-ash-tray.jpg	monsiter-tortoise-ash-tray	d-none	0.0%	star-filled	star-filled	star-filled	star-filled	star-half	13084	Fashion	12	cool home gift for him gift for dad	3	In Stock	34		7493ASTRY																								500.00												500.00												d-none												
2558869492	Pikachu 2-in-1 Pillow Blanket	pikachu 2-in-1 pillow blanket	pikachu-pillow-blanket.jpg	pikachu-pillow-blanket		-28.8%	star-filled	star-filled	star-filled	star-filled	star-half	22452	Bedroom	13	unique gift idea	6	In Stock	12		PLB4398																								420.00												299.00												original-price												
493880030	Bogeyman Egg Separator	bogeyman egg separator	bogeyman-egg-separator.jpg	bogeyman-egg-separator		-0.3%	star-filled	star-filled	star-filled	star-filled	star-half	22560	Kitchen	14	featured funny	7	In Stock	49		BGYES928												Cream												348.00												347.00												original-price												
671422666	Snake Ring	snake ring	snake-ring.jpg	snake-ring	d-none	0.0%	star-filled	star-filled	star-filled	star-filled	star-half	23353	Fashion	15	featured cool gift	6	In Stock	17	Size	SRF109-10	SRF109-7	SRF109-8	SRF109-9									10	7	8	9									59.00	59.00	59.00	59.00									59.00	59.00	59.00	59.00									d-none	d-none	d-none	d-none									
508508552	Panda Computer Mouse	panda computer mouse	cute-animal-panda-mouse.jpg	cute-animal-panda-mouse	d-none	0.0%	star-filled	star-filled	star-filled	star-filled	star-half	13855	Computer and Mobile Accessories	16	featured office unique gift idea	2	In Stock	50	Color	QRW297-PINK	QRW297-WHT	QSW297-PNK	QSW297-WHT									White	Pink											212.00	215.00	275.00	290.00									212.00	215.00	275.00	290.00									d-none	d-none	d-none	d-none									
493868272	DIY Lego Bricks Calendar	diy lego bricks calendar	diy-lego-bricks-calendar.jpg	diy-lego-bricks-calendar	d-none	0.0%	star-filled	star-filled	star-filled	star-filled	star-half	18623	Home	17	featured unique gift idea	1	In Stock	19	Color	CALBR-BLK	CALBR-RED	CALBR-YLW										Black	Red	Yellow										500.00	500.00	500.00										500.00	500.00	500.00										d-none	d-none	d-none										
487222192	Belly Belt Bag	belly belt bag	belly-belt-bag.jpg	belly-belt-bag		-0.3%	star-filled	star-filled	star-filled	star-filled	star-half	24046	Fashion	18	unique gift idea cool	5	In Stock	6	Color	BELB84	BELB85											Hairy	Clean											340.00	340.00											339.00	271.00											original-price	original-price											
